stats_status,team_name,total_matches,wins,losses,draws,total_raids,success_raids,all_outs,unsuccess_raids,empty_raid,success_raid_percent,super_raids,total_tackles,success_tackles,unsuccesful_tackles,tackle_success_rate,super_tackles,green_cards,yellow_cards,red_cards
 Season 4,Patna Pirates,16.0,12.0,4.0,0.0,692.0,206.0,19.0,152.0,334.0,38.0,7.0,332.0,145.0,187.0,52.0,27.0,7.0,1.0,0.0
 Season 5,Patna Pirates,26.0,14.0,7.0,5.0,1173.0,487.0,55.0,238.0,448.0,54.0,26.0,625.0,226.0,399.0,40.0,27.0,10.0,2.0,0.0
 Season 6,Patna Pirates,22.0,9.0,11.0,2.0,934.0,406.0,30.0,226.0,302.0,53.0,11.0,555.0,186.0,369.0,36.0,16.0,11.0,0.0,0.0
 Season 7,Patna Pirates,19.0,6.0,12.0,1.0,802.0,291.0,28.0,184.0,327.0,46.0,13.0,448.0,168.0,280.0,43.0,23.0,11.0,0.0,0.0
,Patna Pirates,131.0,68.0,50.0,13.0,5643.0,2066.0,193.0,1222.0,2355.0,47.0,90.0,3121.0,1176.0,1945.0,42.0,131.0,61.0,6.0,0.0
 Season 1,Puneri Paltan,14.0,2.0,12.0,0.0,552.0,204.0,12.0,148.0,200.0,49.0,11.0,368.0,93.0,275.0,29.0,14.0,3.0,1.0,1.0
 Season 2,Puneri Paltan,14.0,2.0,11.0,1.0,600.0,170.0,12.0,151.0,279.0,37.0,8.0,307.0,104.0,203.0,37.0,11.0,10.0,1.0,0.0
 Season 3,Puneri Paltan,16.0,8.0,5.0,3.0,698.0,203.0,25.0,133.0,362.0,36.0,9.0,371.0,174.0,197.0,50.0,13.0,5.0,3.0,0.0
 Season 4,Puneri Paltan,16.0,7.0,7.0,2.0,716.0,230.0,21.0,151.0,335.0,40.0,10.0,345.0,140.0,205.0,42.0,7.0,7.0,3.0,0.0
 Season 5,Puneri Paltan,24.0,16.0,8.0,0.0,1042.0,304.0,32.0,223.0,515.0,36.0,12.0,547.0,252.0,295.0,50.0,21.0,14.0,2.0,0.0
 Season 6,Puneri Paltan,22.0,8.0,12.0,2.0,940.0,286.0,14.0,228.0,426.0,37.0,7.0,502.0,189.0,313.0,44.0,34.0,14.0,1.0,0.0
 Season 7,Puneri Paltan,19.0,6.0,10.0,3.0,789.0,272.0,18.0,200.0,317.0,42.0,6.0,512.0,197.0,315.0,43.0,22.0,3.0,0.0,0.0
,Puneri Paltan,125.0,49.0,65.0,11.0,5337.0,1669.0,134.0,1234.0,2434.0,39.0,63.0,2952.0,1149.0,1803.0,43.0,122.0,56.0,11.0,1.0
 Season 1,Telugu Titans,14.0,6.0,5.0,3.0,569.0,272.0,25.0,116.0,181.0,59.0,8.0,333.0,96.0,237.0,31.0,8.0,7.0,0.0,0.0
 Season 2,Telugu Titans,16.0,9.0,4.0,3.0,707.0,265.0,26.0,143.0,299.0,49.0,16.0,399.0,158.0,241.0,43.0,16.0,8.0,0.0,0.0
 Season 3,Telugu Titans,14.0,7.0,7.0,0.0,609.0,206.0,13.0,133.0,270.0,42.0,3.0,304.0,101.0,203.0,38.0,15.0,2.0,1.0,0.0
 Season 4,Telugu Titans,16.0,8.0,6.0,2.0,687.0,206.0,22.0,133.0,348.0,39.0,7.0,364.0,157.0,207.0,44.0,5.0,4.0,2.0,0.0
 Season 5,Telugu Titans,22.0,7.0,12.0,3.0,971.0,332.0,25.0,197.0,442.0,41.0,10.0,508.0,191.0,317.0,41.0,17.0,14.0,0.0,0.0
 Season 6,Telugu Titans,22.0,8.0,13.0,1.0,953.0,289.0,18.0,229.0,435.0,37.0,9.0,486.0,202.0,284.0,48.0,33.0,20.0,0.0,0.0
 Season 7,Telugu Titans,18.0,5.0,10.0,3.0,744.0,273.0,13.0,181.0,290.0,45.0,9.0,413.0,162.0,251.0,44.0,21.0,5.0,0.0,0.0
,Telugu Titans,122.0,50.0,57.0,15.0,5240.0,1843.0,142.0,1132.0,2265.0,44.0,62.0,2807.0,1067.0,1740.0,42.0,115.0,60.0,3.0,0.0
