series_name,team_name,player_name,position_name,match_played,total_points,total_raid_points,tackle_points,total_raids,success_raids,unsuccess_raids,empty_raid,super_raids,success_raid_percent,tackle_success_rate,total_tackles,success_tackles,unsuccesful_tackles,super_tackles,most_point_in_a_match,green_cards,yellow_cards,red_cards
 Season 6,Dabang Delhi K.C.,Tushar Balaram Bhoir,"Defender, right cover",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
 Overall,Dabang Delhi K.C.,Tushar Balaram Bhoir,"Defender, right cover",10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78,19.0,2.0,17.0,1.0,2.0,0.0,0.0,0.0
 Season 6,Gujarat Fortunegiants,Amit Kharb,"Defender, right cover",6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0
 Season 7,Gujarat Fortunegiants,Amit Kharb,"Defender, right cover",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Gujarat Fortunegiants,Amit Kharb,"Defender, right cover",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Gujarat Fortunegiants,Amit Kharb,"Defender, right cover",9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,11.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0
 Season 5,Bengaluru Bulls,Amit Sheoran,Defender,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
 Season 6,Bengaluru Bulls,Amit Sheoran,Defender,15.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,53.52,71.0,36.0,35.0,2.0,5.0,1.0,0.0,0.0
 Season 7,Bengaluru Bulls,Amit Sheoran,Defender,19.0,43.0,0.0,43.0,1.0,0.0,1.0,0.0,0.0,0.0,51.8,83.0,40.0,43.0,3.0,6.0,1.0,0.0,0.0
 Overall,Bengaluru Bulls,Amit Sheoran,Defender,38.0,81.0,0.0,81.0,1.0,0.0,1.0,0.0,0.0,0.0,50.62,160.0,76.0,84.0,5.0,6.0,2.0,0.0,0.0
 Season 5,Patna Pirates,Monu,Raider,19.0,49.0,19.0,30.0,77.0,15.0,16.0,46.0,1.0,24.67,55.55,54.0,29.0,25.0,1.0,6.0,0.0,0.0,0.0
 Season 6,Patna Pirates,Monu,Raider,14.0,57.0,45.0,12.0,124.0,38.0,37.0,49.0,1.0,36.29,52.17,23.0,10.0,13.0,2.0,7.0,1.0,0.0,0.0
 Season 7,Patna Pirates,Monu,Raider,19.0,36.0,11.0,25.0,63.0,9.0,13.0,41.0,0.0,17.46,59.52,42.0,18.0,24.0,7.0,5.0,0.0,0.0,0.0
 Overall,Patna Pirates,Monu,Raider,52.0,142.0,75.0,67.0,264.0,62.0,66.0,136.0,2.0,28.4,56.3,119.0,57.0,62.0,10.0,7.0,1.0,0.0,0.0
 Season 5,Bengal Warriors,Rinku Narwal,Defender,13.0,22.0,1.0,21.0,8.0,1.0,0.0,7.0,0.0,12.5,61.76,34.0,17.0,17.0,4.0,7.0,1.0,0.0,0.0
