MatchId,MatchResult,SeasonId,Team1,Team1Score,Team1_all_outs_conceded,Team2,Team2Score,Team2_all_outs_conceded,home_team_name
Match 100,Match Tied, Season 7,Jaipur Pink Panthers,28.0,1.0,Gujarat Fortunegiants,28.0,1.0,Jaipur Pink Panthers
Match 101,U.P. Yoddha beat Tamil Thalaivas (42-22), Season 7,U.P. Yoddha,42.0,1.0,Tamil Thalaivas,22.0,3.0,
Match 102,U Mumba beat Gujarat Fortunegiants (31-25), Season 7,U Mumba,31.0,1.0,Gujarat Fortunegiants,25.0,2.0,
Match 103,Bengal Warriors beat Jaipur Pink Panthers (41-40), Season 7,Jaipur Pink Panthers,40.0,2.0,Bengal Warriors,41.0,1.0,Jaipur Pink Panthers
Match 104,Haryana Steelers beat Patna Pirates (39-34), Season 7,Patna Pirates,34.0,3.0,Haryana Steelers,39.0,0.0,
Match 105,Match Tied, Season 7,Dabang Delhi K.C.,39.0,1.0,Bengaluru Bulls,39.0,2.0,
Match 106,Bengal Warriors beat Telugu Titans (40-39), Season 7,Telugu Titans,39.0,2.0,Bengal Warriors,40.0,1.0,
Match 107,Jaipur Pink Panthers beat Puneri Paltan (43-34), Season 7,Jaipur Pink Panthers,43.0,1.0,Puneri Paltan,34.0,2.0,Jaipur Pink Panthers
Match 108,Dabang Delhi K.C. beat Patna Pirates (43-39), Season 7,Patna Pirates,39.0,1.0,Dabang Delhi K.C.,43.0,2.0,
Match 109,Bengaluru Bulls beat U Mumba (35-33), Season 7,U Mumba,33.0,2.0,Bengaluru Bulls,35.0,1.0,
Match 110,Telugu Titans beat Jaipur Pink Panthers (51-31), Season 7,Jaipur Pink Panthers,31.0,3.0,Telugu Titans,51.0,0.0,Jaipur Pink Panthers
Match 111,U.P. Yoddha beat Haryana Steelers (37-30), Season 7,Haryana Steelers,30.0,1.0,U.P. Yoddha,37.0,1.0,Haryana Steelers
Match 112,Gujarat Fortunegiants beat Tamil Thalaivas (50-21), Season 7,Gujarat Fortunegiants,50.0,0.0,Tamil Thalaivas,21.0,3.0,
